,datetime,r_sen_2,avg_sen_2,std_sen_2,last_water,dow
200,2020-08-14 00:20:43,0,0.0,0.0,6 days 10:40:12,4
201,2020-08-14 00:30:43,0,0.0,0.0,6 days 10:50:12,4
202,2020-08-14 00:40:43,0,0.0,0.0,6 days 11:00:12,4
203,2020-08-14 00:50:43,0,0.0,0.0,6 days 11:10:12,4
204,2020-08-14 01:00:43,0,0.0,0.0,6 days 11:20:12,4
205,2020-08-14 01:10:43,0,0.0,0.0,6 days 11:30:12,4
206,2020-08-14 01:20:43,0,0.0,0.0,6 days 11:40:12,4
207,2020-08-14 01:30:43,0,0.0,0.0,6 days 11:50:12,4
208,2020-08-14 01:40:43,0,0.0,0.0,6 days 12:00:12,4
209,2020-08-14 01:50:43,0,0.0,0.0,6 days 12:10:12,4
210,2020-08-14 02:00:43,0,0.0,0.0,6 days 12:20:12,4
211,2020-08-14 02:10:43,0,0.0,0.0,6 days 12:30:12,4
212,2020-08-14 02:20:43,0,0.0,0.0,6 days 12:40:12,4
213,2020-08-14 02:30:43,0,0.0,0.0,6 days 12:50:12,4
214,2020-08-14 02:40:43,0,0.0,0.0,6 days 13:00:12,4
215,2020-08-14 02:50:43,0,0.0,0.0,6 days 13:10:12,4
216,2020-08-14 03:00:43,0,0.0,0.0,6 days 13:20:12,4
217,2020-08-14 03:10:43,0,0.0,0.0,6 days 13:30:12,4
218,2020-08-14 03:20:43,0,0.0,0.0,6 days 13:40:12,4
219,2020-08-14 03:30:43,0,0.0,0.0,6 days 13:50:12,4
220,2020-08-14 03:40:43,0,0.0,0.0,6 days 14:00:12,4
221,2020-08-14 03:50:43,0,0.0,0.0,6 days 14:10:12,4
222,2020-08-14 04:00:43,0,0.0,0.0,6 days 14:20:12,4
223,2020-08-14 04:10:43,0,0.0,0.0,6 days 14:30:12,4
224,2020-08-14 04:20:43,0,0.0,0.0,6 days 14:40:12,4
225,2020-08-14 04:30:43,0,0.0,0.0,6 days 14:50:12,4
226,2020-08-14 04:40:43,0,0.0,0.0,6 days 15:00:12,4
227,2020-08-14 04:50:43,0,0.0,0.0,6 days 15:10:12,4
228,2020-08-14 05:00:43,0,0.0,0.0,6 days 15:20:12,4
229,2020-08-14 05:10:43,0,0.0,0.0,6 days 15:30:12,4
230,2020-08-14 05:20:43,0,0.0,0.0,6 days 15:40:12,4
231,2020-08-14 05:30:43,0,0.0,0.0,6 days 15:50:12,4
232,2020-08-14 05:40:43,0,0.0,0.0,6 days 16:00:12,4
233,2020-08-14 05:50:43,0,0.0,0.0,6 days 16:10:12,4
234,2020-08-14 06:00:43,0,0.0,0.0,6 days 16:20:12,4
235,2020-08-14 06:10:43,0,0.0,0.0,6 days 16:30:12,4
236,2020-08-14 06:20:43,0,0.0,0.0,6 days 16:40:12,4
237,2020-08-14 06:30:43,0,0.0,0.0,6 days 16:50:12,4
238,2020-08-14 06:40:43,0,0.0,0.0,6 days 17:00:12,4
239,2020-08-14 06:50:43,0,0.0,0.0,6 days 17:10:12,4
240,2020-08-14 07:00:43,0,0.0,0.0,6 days 17:20:12,4
241,2020-08-14 07:10:43,0,0.0,0.0,6 days 17:30:12,4
242,2020-08-14 07:20:43,0,0.0,0.0,6 days 17:40:12,4
243,2020-08-14 07:30:43,0,0.0,0.0,6 days 17:50:12,4
244,2020-08-14 07:40:43,0,0.0,0.0,6 days 18:00:12,4
